index,val
1597,solar
1598,solar
1599,solar
1600,solar
1601,solar
1602,solar
1603,solar
1604,solar
1605,solar
1606,solar
1607,solar
1608,water
1609,solar
1610,solar
1611,solar
1612,solar
1613,solar
1614,solar
1615,solar
1616,water
1617,solar
1618,solar
1619,solar
1620,solar
1621,solar
1622,solar
1623,solar
1624,solar
1625,solar
1626,solar
1627,solar
1628,water
1629,water
1630,solar
1631,wind
1632,water
1633,water
1634,wind
1635,wind
1636,water
1637,water
1638,water
1639,water
1640,wind
1641,wind
1642,wind
1643,wind
1644,wind
1645,wind
1646,wind
1647,wind
1648,wind
1649,wind
1650,wind
1651,gas
1652,gas
1653,gas
1654,gas
1655,gas
1656,wind
1657,wind
1658,wind
1659,wind
1660,wind
1661,wind
1662,wind
1663,wind
1664,wind
1665,wind
1666,wind
1667,wind
1668,wind
1669,wind
1670,wind
1671,wind
1672,wind
1673,wind
1674,wind
1675,solar
1676,solar
1677,solar
1678,solar
1679,solar
1680,solar
1681,solar
1682,solar
1683,solar
1684,solar
1685,solar
1686,solar
1687,solar
1688,solar
1689,solar
1690,solar
1691,solar
1692,solar
1693,water
1694,water
1695,solar
1696,solar
1697,solar
1698,solar
1699,solar
1700,solar
1701,solar
1702,water
1703,solar
1704,solar
1705,solar
1706,solar
1707,solar
1708,water
1709,solar
1710,solar
1711,water
1712,solar
1713,water
1714,solar
1715,solar
1716,wind
1717,wind
1718,wind
1719,wind
1720,wind
1721,wind
1722,wind
1723,water
1724,wind
1725,wind
1726,wind
1727,wind
1728,wind
1729,wind
1730,wind
1731,wind
1732,wind
1733,wind
1734,wind
1735,wind
1736,wind
1737,wind
1738,wind
1739,wind
1740,wind
1741,wind
1742,wind
1743,wind
1744,wind
1745,wind
1746,wind
1747,wind
1748,wind
1749,wind
1750,wind
1751,wind
1752,wind
1753,wind
1754,wind
1755,wind
1756,wind
1757,wind
1758,wind
1759,wind
1760,wind
1761,solar
1762,solar
1763,solar
1764,solar
1765,solar
1766,solar
1767,solar
1768,solar
1769,solar
1770,solar
1771,solar
1772,solar
1773,solar
1774,solar
1775,solar
1776,solar
1777,solar
1778,solar
1779,solar
1780,solar
1781,solar
1782,solar
1783,solar
1784,solar
1785,solar
1786,solar
1787,solar
1788,solar
1789,solar
1790,solar
1791,solar
1792,solar
1793,solar
1794,solar
1795,solar
1796,solar
1797,water
1798,water
1799,solar
1800,solar
1801,solar
1802,wind
1803,wind
1804,wind
1805,wind
1806,wind
1807,wind
1808,wind
1809,wind
1810,wind
1811,wind
1812,wind
1813,wind
1814,wind
1815,wind
1816,wind
1817,wind
1818,wind
1819,wind
1820,wind
1821,wind
1822,wind
1823,wind
1824,wind
1825,wind
1826,wind
1827,wind
1828,wind
1829,wind
1830,wind
1831,wind
1832,wind
1833,wind
1834,wind
1835,wind
1836,wind
1837,wind
1838,wind
1839,wind
1840,wind
1841,wind
1842,wind
1843,wind
1844,wind
1845,wind
1846,wind
1847,wind
1848,wind
1849,solar
1850,solar
1851,solar
1852,solar
1853,solar
1854,solar
1855,solar
1856,solar
1857,solar
1858,solar
1859,solar
1860,solar
1861,solar
1862,solar
1863,solar
1864,solar
1865,solar
1866,solar
1867,solar
1868,solar
1869,solar
1870,solar
1871,solar
1872,solar
1873,solar
1874,solar
1875,solar
1876,solar
1877,solar
1878,solar
1879,solar
1880,solar
1881,solar
1882,solar
1883,solar
1884,solar
1885,solar
1886,water
1887,solar
1888,solar
1889,water
1890,wind
1891,wind
1892,wind
1893,wind
1894,wind
1895,wind
1896,water
1897,wind
1898,wind
1899,wind
1900,wind
1901,wind
1902,wind
1903,wind
1904,wind
1905,wind
1906,wind
1907,wind
1908,wind
1909,wind
1910,wind
1911,wind
1912,wind
1913,wind
1914,wind
1915,wind
1916,wind
1917,wind
1918,wind
1919,wind
1920,wind
1921,wind
1922,wind
1923,wind
1924,wind
1925,wind
1926,wind
1927,wind
1928,wind
1929,wind
1930,wind
1931,wind
1932,wind
1933,wind
1934,wind
1935,wind
1936,wind
1937,wind
1938,solar
1939,solar
1940,solar
1941,solar
1942,solar
1943,solar
1944,solar
1945,solar
1946,solar
1947,solar
1948,solar
1949,solar
1950,solar
1951,solar
1952,solar
1953,solar
1954,solar
1955,solar
1956,solar
1957,solar
1958,solar
1959,solar
1960,solar
1961,solar
1962,solar
1963,solar
1964,solar
1965,solar
1966,solar
1967,solar
1968,solar
1969,solar
1970,solar
1971,solar
1972,solar
1973,solar
1974,solar
1975,water
1976,water
1977,wind
1978,wind
1979,wind
1980,wind
1981,wind
1982,wind
1983,wind
1984,wind
1985,wind
1986,wind
1987,wind
1988,wind
1989,wind
1990,wind
1991,wind
1992,wind
1993,wind
1994,wind
1995,wind
1996,wind
1997,wind
1998,wind
1999,wind
2000,wind
2001,wind
2002,wind
2003,wind
2004,wind
2005,wind
2006,wind
2007,wind
2008,wind
2009,wind
2010,wind
2011,wind
2012,wind
2013,wind
2014,wind
2015,wind
2016,wind
2017,wind
2018,wind
2019,wind
2020,wind
2021,wind
2022,wind
2023,wind
2024,wind
2025,wind
2026,wind
2027,wind
2028,solar
2029,solar
2030,solar
2031,solar
2032,solar
2033,solar
2034,solar
2035,solar
2036,solar
2037,solar
2038,solar
2039,solar
2040,solar
2041,solar
2042,solar
2043,solar
2044,solar
2045,solar
2046,solar
2047,solar
2048,solar
2049,solar
2050,solar
2051,solar
2052,solar
2053,solar
2054,solar
2055,solar
2056,solar
2057,solar
2058,solar
2059,solar
2060,solar
2061,solar
2062,solar
2063,solar
2064,solar
2065,wind
2066,wind
2067,wind
2068,wind
2069,wind
2070,wind
2071,wind
2072,wind
2073,wind
2074,wind
2075,wind
2076,wind
2077,solar
2078,solar
2079,solar
2080,solar
2081,solar
2082,wind
2083,wind
2084,wind
2085,wind
2086,wind
2087,wind
2088,wind
2089,wind
2090,wind
2091,wind
2092,wind
2093,wind
2094,wind
2095,wind
2096,wind
2097,wind
2098,wind
2099,wind
2100,wind
2101,wind
2102,wind
2103,wind
2104,wind
2105,wind
2106,wind
2107,wind
2108,wind
2109,wind
2110,wind
2111,wind
2112,wind
2113,wind
2114,wind
2115,wind
2116,wind
2117,wind
2118,wind
2119,solar
2120,solar
2121,solar
2122,solar
2123,solar
2124,solar
2125,solar
2126,solar
2127,solar
2128,solar
2129,solar
2130,solar
2131,solar
2132,solar
2133,solar
2134,solar
2135,solar
2136,solar
2137,solar
2138,solar
2139,solar
2140,solar
2141,solar
2142,solar
2143,solar
2144,solar
2145,solar
2146,solar
2147,solar
2148,solar
2149,solar
2150,solar
2151,solar
2152,solar
2153,solar
2154,solar
2155,solar
2156,solar
2157,wind
2158,wind
2159,wind
2160,wind
2161,wind
2162,wind
2163,wind
2164,wind
2165,wind
2166,wind
2167,wind
2168,solar
2169,solar
2170,solar
2171,solar
2172,solar
2173,wind
2174,wind
2175,wind
2176,wind
2177,wind
2178,wind
2179,wind
2180,wind
2181,wind
2182,wind
2183,wind
2184,wind
2185,wind
2186,wind
2187,wind
2188,wind
2189,wind
2190,wind
2191,wind
2192,wind
2193,wind
2194,wind
2195,wind
2196,wind
2197,wind
2198,wind
2199,wind
2200,wind
2201,wind
